name,sku,category,quantity,unit price,ext price,date
Carroll PLC,QN-82852,Belt,13,44.48,578.24,2014-09-27 07:13:03
Heidenreich-Bosco,MJ-21460,Shoes,19,53.62,1018.78,2014-07-29 02:10:44
"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,12,24.16,289.92,2014-03-01 10:51:24
Waters-Walker,AS-93055,Shirt,5,82.68,413.4,2013-11-17 20:41:11
Waelchi-Fahey,AS-93055,Shirt,18,99.64,1793.52,2014-01-03 08:14:27
"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,52.82,897.94,2013-12-04 02:07:05
Cole-Eichmann,GS-86623,Shoes,18,15.28,275.04,2014-04-09 16:15:03
Hegmann and Sons,LL-46261,Shoes,7,78.78,551.46,2014-06-18 19:25:10
"Senger, Upton and Breitenberg",LW-86841,Shoes,17,38.19,649.23,2014-02-10 05:55:56
"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,12,26.98,323.76,2014-05-20 00:21:28
Cole-Eichmann,KV-99194,Shirt,19,60.22,1144.18,2014-03-10 06:23:31
Hegmann and Sons,QN-82852,Belt,6,13.12,78.72,2013-11-03 18:38:16
"Kihn, McClure and Denesik",LL-46261,Shoes,4,59.69,238.76,2014-01-11 21:48:28
"Ernser, Cruickshank and Lind",FK-71853,Shirt,12,97.25,1167,2014-09-19 13:20:00
Koelpin PLC,GS-86623,Shoes,9,81.44,732.96,2014-08-12 08:05:27
Waters-Walker,LL-46261,Shoes,18,53.33,959.94,2014-07-15 23:21:11
"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,4,35.62,142.48,2014-10-05 23:38:16
Koelpin PLC,KV-99194,Shirt,17,98.23,1669.91,2014-01-26 01:52:36
"Kihn, McClure and Denesik",WJ-02096,Belt,15,69.52,1042.8,2013-11-13 21:38:46
Carroll PLC,VG-32047,Shirt,12,80.12,961.44,2014-05-24 16:03:28
"Volkman, Goyette and Lemke",WJ-02096,Belt,13,81.19,1055.47,2014-01-08 02:45:07
"Senger, Upton and Breitenberg",LL-46261,Shoes,2,48.15,96.3,2014-04-28 07:01:04
"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,1,54.94,54.94,2014-08-09 11:22:15
Berge LLC,QN-82852,Belt,4,57.75,231,2013-11-04 09:48:26
Carroll PLC,AS-93055,Shirt,14,47.68,667.52,2014-01-12 00:28:09
Huel-Haag,QN-82852,Belt,2,41.4,82.8,2014-09-23 02:36:55
"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,6,58.52,351.12,2014-03-14 02:28:57
"Volkman, Goyette and Lemke",LL-46261,Shoes,12,96.62,1159.44,2013-12-13 03:19:19
Kunze Inc,KV-99194,Shirt,12,93.67,1124.04,2014-02-19 06:03:09
Gorczany-Hahn,VG-32047,Shirt,12,72.63,871.56,2014-02-07 03:30:14
Kilback-Gerlach,AS-93055,Shirt,2,90.8,181.6,2014-03-26 20:56:14
Hamill-Hackett,AS-93055,Shirt,6,42.96,257.76,2013-11-14 22:16:18
Kilback-Gerlach,AS-93055,Shirt,1,71.5,71.5,2014-04-14 16:58:07
"Davis, Kshlerin and Reilly",AS-93055,Shirt,1,74.43,74.43,2014-09-20 09:49:19
Koelpin PLC,GS-86623,Shoes,8,35.38,283.04,2013-12-12 02:37:57
Gorczany-Hahn,QN-82852,Belt,16,24.87,397.92,2014-02-20 07:42:49
Carroll PLC,WJ-02096,Belt,14,15.33,214.62,2013-12-03 01:25:07
Waters-Walker,AS-93055,Shirt,12,94.34,1132.08,2014-09-04 13:39:04
Kunze Inc,MJ-21460,Shoes,18,12.78,230.04,2014-02-20 13:18:47
Hamill-Hackett,LL-46261,Shoes,3,28.71,86.13,2014-01-02 12:49:41
Gorczany-Hahn,VG-32047,Shirt,11,11.21,123.31,2013-12-10 20:13:01
Koelpin PLC,KV-99194,Shirt,4,29.79,119.16,2013-11-07 17:43:31
Koelpin PLC,LW-86841,Shoes,11,35.82,394.02,2014-06-21 19:49:30
Hamill-Hackett,WJ-02096,Belt,6,55.43,332.58,2014-08-08 13:50:43
Huel-Haag,GS-86623,Shoes,4,95.75,383,2014-03-15 12:50:59
Huel-Haag,MJ-21460,Shoes,10,12.63,126.3,2014-06-05 22:34:03
Kunze Inc,MJ-21460,Shoes,10,26.21,262.1,2014-04-21 02:14:10
"Kihn, McClure and Denesik",LW-86841,Shoes,11,92.1,1013.1,2014-03-21 14:26:03
"Volkman, Goyette and Lemke",MJ-21460,Shoes,10,98.27,982.7,2014-10-02 04:41:10
"Ernser, Cruickshank and Lind",FK-71853,Shirt,6,65.4,392.4,2014-09-17 19:15:27
Cole-Eichmann,KV-99194,Shirt,10,23.79,237.9,2013-11-17 23:56:36
Koelpin PLC,MJ-21460,Shoes,7,52.01,364.07,2014-05-23 17:49:08
"Kihn, McClure and Denesik",FK-71853,Shirt,11,13.06,143.66,2014-03-01 08:58:41
Kunze Inc,GS-86623,Shoes,14,92.43,1294.02,2014-08-03 21:22:07
Koelpin PLC,FK-71853,Shirt,14,57.69,807.66,2014-05-26 16:29:02
"Ernser, Cruickshank and Lind",KV-99194,Shirt,10,83.05,830.5,2014-01-05 10:16:57
Heidenreich-Bosco,GS-86623,Shoes,10,26.49,264.9,2014-02-12 07:27:39
"Senger, Upton and Breitenberg",GS-86623,Shoes,15,88.24,1323.6,2014-07-09 19:31:43
"Davis, Kshlerin and Reilly",LL-46261,Shoes,13,75.38,979.94,2014-03-05 09:26:56
Kunze Inc,LW-86841,Shoes,16,66.61,1065.76,2014-07-25 22:56:12
Berge LLC,GS-86623,Shoes,3,99.88,299.64,2014-08-04 23:08:09
Cole-Eichmann,AS-93055,Shirt,7,41.75,292.25,2014-07-08 15:01:53
Gorczany-Hahn,AS-93055,Shirt,13,22.23,288.99,2014-01-13 18:31:57
"Senger, Upton and Breitenberg",QN-82852,Belt,18,71.38,1284.84,2014-09-24 04:14:12
Heidenreich-Bosco,LW-86841,Shoes,9,89.82,808.38,2013-11-30 23:19:44
Gorczany-Hahn,KV-99194,Shirt,10,85.12,851.2,2014-05-17 03:23:30
"Ernser, Cruickshank and Lind",VG-32047,Shirt,17,75.04,1275.68,2014-02-09 16:56:59
"Volkman, Goyette and Lemke",KV-99194,Shirt,3,45.05,135.15,2014-02-17 04:26:57
"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,16,76.77,1228.32,2014-01-05 02:40:58
Waelchi-Fahey,VG-32047,Shirt,11,99.09,1089.99,2014-07-15 21:09:33
"Ernser, Cruickshank and Lind",AS-93055,Shirt,3,71.25,213.75,2014-09-29 06:24:24
"Kerluke, Reilly and Bechtelar",QN-82852,Belt,14,40.3,564.2,2014-01-15 18:10:47
Waelchi-Fahey,AS-93055,Shirt,1,10.38,10.38,2014-09-12 21:26:08
Huel-Haag,GS-86623,Shoes,8,69.32,554.56,2014-08-05 15:34:59
"Kihn, McClure and Denesik",QN-82852,Belt,12,82.74,992.88,2014-07-28 00:55:13
Hegmann and Sons,QN-82852,Belt,17,81.64,1387.88,2014-05-29 05:51:07
Hamill-Hackett,LL-46261,Shoes,5,50.63,253.15,2014-10-22 11:43:28
Kunze Inc,LW-86841,Shoes,6,81.41,488.46,2014-09-11 08:41:22
Gorczany-Hahn,QN-82852,Belt,13,18.45,239.85,2014-01-19 21:22:08
"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,17.36,295.12,2014-01-29 14:09:39
Huel-Haag,AS-93055,Shirt,9,55.09,495.81,2014-06-28 22:39:25
Cole-Eichmann,LL-46261,Shoes,3,17.54,52.62,2014-01-17 19:11:41
"Kihn, McClure and Denesik",AS-93055,Shirt,7,82.51,577.57,2014-01-13 08:06:03
Huel-Haag,WJ-02096,Belt,3,14.9,44.7,2013-11-21 14:28:29
Waelchi-Fahey,FK-71853,Shirt,6,89.05,534.3,2014-05-15 02:19:37
"Kerluke, Reilly and Bechtelar",QN-82852,Belt,18,57.99,1043.82,2014-09-25 06:23:20
Koelpin PLC,VG-32047,Shirt,1,35.82,35.82,2014-04-01 11:12:52
Berge LLC,LW-86841,Shoes,5,56,280,2013-11-22 17:45:35
"Ernser, Cruickshank and Lind",WJ-02096,Belt,7,77.52,542.64,2014-02-01 09:30:21
"Ernser, Cruickshank and Lind",LL-46261,Shoes,12,47.07,564.84,2014-08-08 11:08:24
"Kihn, McClure and Denesik",KV-99194,Shirt,18,70.12,1262.16,2013-10-25 03:43:33
"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,20,28.61,572.2,2014-09-30 19:16:05
Gorczany-Hahn,FK-71853,Shirt,12,73.92,887.04,2014-05-15 13:22:25
Koelpin PLC,FK-71853,Shirt,2,38.82,77.64,2013-12-10 17:54:51
"Kuphal, Zieme and Kub",KV-99194,Shirt,14,69.26,969.64,2014-01-20 20:34:55
Berge LLC,GS-86623,Shoes,19,28.54,542.26,2013-10-26 17:03:00
Carroll PLC,LL-46261,Shoes,7,79.15,554.05,2014-03-07 09:38:37
"Kuphal, Zieme and Kub",GS-86623,Shoes,20,36.19,723.8,2014-07-02 08:35:43
"Volkman, Goyette and Lemke",LL-46261,Shoes,19,93.21,1770.99,2014-04-20 18:58:11
Koelpin PLC,MJ-21460,Shoes,5,23.76,118.8,2014-08-17 11:00:49
Gorczany-Hahn,FK-71853,Shirt,2,44.1,88.2,2014-08-09 18:31:40
Gorczany-Hahn,LL-46261,Shoes,20,41.05,821,2014-02-20 07:29:02
"Davis, Kshlerin and Reilly",LW-86841,Shoes,19,47.78,907.82,2014-02-22 13:15:38
Kilback-Gerlach,LW-86841,Shoes,9,95.92,863.28,2014-05-29 22:08:13
Waters-Walker,GS-86623,Shoes,4,50.1,200.4,2014-08-11 02:09:32
Heidenreich-Bosco,WJ-02096,Belt,10,75.51,755.1,2013-10-22 23:19:39
"Ernser, Cruickshank and Lind",VG-32047,Shirt,19,64.38,1223.22,2014-09-02 21:51:04
Hegmann and Sons,FK-71853,Shirt,12,17.42,209.04,2014-01-22 14:25:19
Gorczany-Hahn,MJ-21460,Shoes,11,81.67,898.37,2014-09-06 11:50:34
"Ernser, Cruickshank and Lind",VG-32047,Shirt,6,74.08,444.48,2014-02-28 18:37:43
"Kuphal, Zieme and Kub",MJ-21460,Shoes,18,25.91,466.38,2014-08-12 22:48:01
Hegmann and Sons,LL-46261,Shoes,6,57.32,343.92,2013-12-20 12:38:08
"Volkman, Goyette and Lemke",QN-82852,Belt,6,78.61,471.66,2013-12-18 12:13:25
"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,5,50.85,254.25,2014-08-02 05:30:13
"Volkman, Goyette and Lemke",FK-71853,Shirt,13,72.12,937.56,2014-03-09 14:23:35
"Kuphal, Zieme and Kub",MJ-21460,Shoes,14,24.91,348.74,2014-04-06 19:20:34
"Ernser, Cruickshank and Lind",MJ-21460,Shoes,9,43.25,389.25,2014-04-26 16:22:46
"Kuphal, Zieme and Kub",QN-82852,Belt,12,66.32,795.84,2013-11-19 04:47:16
Waelchi-Fahey,AS-93055,Shirt,2,24.3,48.6,2013-11-10 13:25:32
Berge LLC,MJ-21460,Shoes,12,53.7,644.4,2014-09-27 02:51:01
Koelpin PLC,LL-46261,Shoes,16,80.82,1293.12,2014-08-19 00:53:50
"Ernser, Cruickshank and Lind",QN-82852,Belt,10,91.71,917.1,2014-06-25 19:11:32
"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,11,16.05,176.55,2014-09-26 03:52:52
Waters-Walker,VG-32047,Shirt,17,86.18,1465.06,2014-08-13 15:42:49
"Kihn, McClure and Denesik",LW-86841,Shoes,14,87.56,1225.84,2014-04-27 07:55:06
Hamill-Hackett,GS-86623,Shoes,20,27.49,549.8,2014-07-02 12:51:29
Waters-Walker,GS-86623,Shoes,4,73.11,292.44,2014-08-21 19:29:11
"Kihn, McClure and Denesik",FK-71853,Shirt,11,90.64,997.04,2014-05-11 06:10:17
"Ernser, Cruickshank and Lind",KV-99194,Shirt,12,72.17,866.04,2014-09-15 20:49:18
Waelchi-Fahey,LL-46261,Shoes,9,50.76,456.84,2014-08-29 11:32:00
Waters-Walker,FK-71853,Shirt,16,21.43,342.88,2014-05-25 00:38:58
Waters-Walker,LL-46261,Shoes,20,21.09,421.8,2013-12-23 04:50:54
Hegmann and Sons,VG-32047,Shirt,20,25.37,507.4,2014-07-19 17:18:19
Hamill-Hackett,KV-99194,Shirt,20,29.59,591.8,2014-01-01 19:55:03
Cole-Eichmann,KV-99194,Shirt,17,20.24,344.08,2014-10-01 21:20:26
Kunze Inc,WJ-02096,Belt,13,71.35,927.55,2014-06-09 20:22:22
Hegmann and Sons,KV-99194,Shirt,16,79.67,1274.72,2013-10-25 07:31:02
Kilback-Gerlach,LW-86841,Shoes,2,60.75,121.5,2014-05-17 13:10:42
"Kuphal, Zieme and Kub",KV-99194,Shirt,5,44.47,222.35,2014-04-11 05:00:15
Waters-Walker,GS-86623,Shoes,2,86.17,172.34,2014-03-12 14:25:12
"Ernser, Cruickshank and Lind",LW-86841,Shoes,14,54.5,763,2014-10-06 09:47:02
"Kuphal, Zieme and Kub",AS-93055,Shirt,18,37.75,679.5,2014-04-05 20:02:30
"Kuphal, Zieme and Kub",FK-71853,Shirt,20,32.7,654,2014-04-26 05:18:02
Carroll PLC,MJ-21460,Shoes,15,93.06,1395.9,2014-08-17 18:39:56
"Volkman, Goyette and Lemke",LL-46261,Shoes,17,49.59,843.03,2013-10-29 12:57:27
"Volkman, Goyette and Lemke",WJ-02096,Belt,17,45.43,772.31,2014-05-09 06:44:04
Kilback-Gerlach,AS-93055,Shirt,2,31.54,63.08,2014-01-26 05:15:19
Huel-Haag,LW-86841,Shoes,6,93.02,558.12,2013-11-23 08:51:18
"Volkman, Goyette and Lemke",FK-71853,Shirt,16,57.02,912.32,2014-10-14 14:07:31
Kilback-Gerlach,FK-71853,Shirt,11,53.17,584.87,2014-06-10 15:11:01
"Davis, Kshlerin and Reilly",LL-46261,Shoes,12,52.51,630.12,2014-08-03 03:39:52
Gorczany-Hahn,MJ-21460,Shoes,13,96.31,1252.03,2013-12-03 04:04:40
Koelpin PLC,LW-86841,Shoes,16,90.97,1455.52,2014-08-29 07:41:36
Berge LLC,KV-99194,Shirt,7,64.02,448.14,2013-11-05 03:55:12
"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,15,18.41,276.15,2014-03-02 17:47:13
"Davis, Kshlerin and Reilly",MJ-21460,Shoes,2,29.63,59.26,2014-03-27 23:48:17
"Volkman, Goyette and Lemke",FK-71853,Shirt,4,46.82,187.28,2014-02-15 06:51:19
Kunze Inc,VG-32047,Shirt,9,93.69,843.21,2014-03-20 15:25:39
Waters-Walker,GS-86623,Shoes,15,64.11,961.65,2013-10-23 08:28:53
Huel-Haag,LL-46261,Shoes,3,48.87,146.61,2014-04-03 22:36:22
"Senger, Upton and Breitenberg",MJ-21460,Shoes,14,87.01,1218.14,2013-12-14 16:40:16
"Senger, Upton and Breitenberg",KV-99194,Shirt,4,17.98,71.92,2014-07-22 19:10:27
Berge LLC,AS-93055,Shirt,10,93.77,937.7,2014-08-17 09:21:15
Berge LLC,MJ-21460,Shoes,6,84.73,508.38,2014-07-20 18:27:59
Kilback-Gerlach,QN-82852,Belt,11,45.49,500.39,2013-11-12 10:13:25
"Kuphal, Zieme and Kub",LL-46261,Shoes,17,70.23,1193.91,2014-08-14 13:57:01
Cole-Eichmann,FK-71853,Shirt,10,51.29,512.9,2014-09-16 05:26:10
Waters-Walker,AS-93055,Shirt,16,75.48,1207.68,2014-08-23 04:04:11
Hamill-Hackett,MJ-21460,Shoes,19,56.9,1081.1,2014-10-21 08:46:48
Hegmann and Sons,FK-71853,Shirt,10,71.89,718.9,2014-09-11 00:45:37
"Senger, Upton and Breitenberg",MJ-21460,Shoes,10,13.02,130.2,2014-06-30 10:31:23
Huel-Haag,MJ-21460,Shoes,3,79.49,238.47,2014-06-02 13:06:24
Berge LLC,AS-93055,Shirt,11,81.53,896.83,2014-09-01 17:46:10
Waelchi-Fahey,LL-46261,Shoes,1,18.68,18.68,2014-05-19 18:10:49
Koelpin PLC,MJ-21460,Shoes,20,45.32,906.4,2014-07-06 22:06:23
Kilback-Gerlach,AS-93055,Shirt,10,68.74,687.4,2014-03-27 12:14:12
"Volkman, Goyette and Lemke",AS-93055,Shirt,10,90,900,2014-07-10 22:17:15
Cole-Eichmann,WJ-02096,Belt,6,20.3,121.8,2014-05-23 10:24:32
"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,17,58.67,997.39,2013-12-08 13:43:29
Waelchi-Fahey,FK-71853,Shirt,2,12.68,25.36,2014-04-27 03:38:16
Hamill-Hackett,GS-86623,Shoes,17,49.68,844.56,2014-01-28 15:37:10
Hegmann and Sons,MJ-21460,Shoes,2,95.37,190.74,2014-03-30 08:27:54
Hegmann and Sons,AS-93055,Shirt,20,96.98,1939.6,2014-06-13 18:23:55
Carroll PLC,VG-32047,Shirt,16,23.79,380.64,2014-02-26 18:22:57
Cole-Eichmann,KV-99194,Shirt,2,37.86,75.72,2014-04-04 19:30:50
Huel-Haag,KV-99194,Shirt,9,66.18,595.62,2014-01-15 11:55:40
Hegmann and Sons,KV-99194,Shirt,6,98.89,593.34,2014-04-22 00:24:15
"Kihn, McClure and Denesik",VG-32047,Shirt,4,25.02,100.08,2014-05-26 06:54:22
"Kerluke, Reilly and Bechtelar",WJ-02096,Belt,16,64.58,1033.28,2013-12-17 23:35:15
"Davis, Kshlerin and Reilly",FK-71853,Shirt,18,48.7,876.6,2014-02-10 08:43:23
Berge LLC,QN-82852,Belt,16,24.66,394.56,2013-12-12 00:57:07
"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,5,43.15,215.75,2014-04-06 06:24:33
Carroll PLC,QN-82852,Belt,2,54.52,109.04,2014-08-24 09:43:19
"Senger, Upton and Breitenberg",WJ-02096,Belt,8,91.14,729.12,2014-06-11 10:12:04
Heidenreich-Bosco,LW-86841,Shoes,13,65.79,855.27,2014-06-28 04:47:33
"Volkman, Goyette and Lemke",AS-93055,Shirt,8,14.73,117.84,2014-03-19 05:18:21
"Kihn, McClure and Denesik",VG-32047,Shirt,14,96.18,1346.52,2014-10-04 09:49:10
Hegmann and Sons,MJ-21460,Shoes,6,81.1,486.6,2014-02-15 15:29:46
Heidenreich-Bosco,FK-71853,Shirt,12,38.32,459.84,2014-06-25 09:29:53
"Senger, Upton and Breitenberg",FK-71853,Shirt,3,51.8,155.4,2014-03-31 04:17:46
Kunze Inc,FK-71853,Shirt,13,40.29,523.77,2014-09-01 23:53:15
Heidenreich-Bosco,KV-99194,Shirt,10,22.17,221.7,2014-02-26 06:59:32
Kilback-Gerlach,MJ-21460,Shoes,15,43.41,651.15,2014-03-09 00:29:06
Gorczany-Hahn,KV-99194,Shirt,11,67.32,740.52,2014-02-28 18:44:43
Hegmann and Sons,FK-71853,Shirt,3,17.9,53.7,2014-10-14 19:22:12
"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,7,44.27,309.89,2014-10-08 13:05:13
Hegmann and Sons,FK-71853,Shirt,18,51.72,930.96,2014-02-14 00:05:05
"Davis, Kshlerin and Reilly",AS-93055,Shirt,9,22.01,198.09,2014-04-08 03:17:21
"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,10,36.38,363.8,2014-01-02 13:43:36
Huel-Haag,FK-71853,Shirt,11,63.78,701.58,2014-07-15 23:58:16
Koelpin PLC,MJ-21460,Shoes,10,56.51,565.1,2014-09-22 16:34:24
"Ernser, Cruickshank and Lind",AS-93055,Shirt,2,10.47,20.94,2014-04-23 15:24:21
Berge LLC,GS-86623,Shoes,8,21.39,171.12,2014-03-12 11:43:23
Koelpin PLC,LL-46261,Shoes,13,26.49,344.37,2014-09-09 14:59:01
"Kihn, McClure and Denesik",VG-32047,Shirt,20,95.6,1912,2014-10-12 20:10:43
Cole-Eichmann,LL-46261,Shoes,17,72.91,1239.47,2014-02-26 16:19:25
Waelchi-Fahey,FK-71853,Shirt,15,89.45,1341.75,2014-09-09 09:21:01
"Davis, Kshlerin and Reilly",KV-99194,Shirt,4,63.39,253.56,2014-09-15 18:49:05
"Davis, Kshlerin and Reilly",QN-82852,Belt,15,51.64,774.6,2014-09-07 02:44:53
Gorczany-Hahn,LW-86841,Shoes,6,72.98,437.88,2014-06-15 03:34:22
Kunze Inc,MJ-21460,Shoes,8,63.28,506.24,2014-06-21 21:09:50
"Ernser, Cruickshank and Lind",WJ-02096,Belt,15,63.31,949.65,2014-04-23 06:25:35
Berge LLC,MJ-21460,Shoes,10,44.59,445.9,2014-05-04 18:52:20
"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,7,41.87,293.09,2013-12-09 01:15:23
"Kuphal, Zieme and Kub",LW-86841,Shoes,4,35,140,2014-04-13 20:37:05
Waelchi-Fahey,WJ-02096,Belt,13,68.39,889.07,2013-11-27 12:45:23
"Ernser, Cruickshank and Lind",LL-46261,Shoes,8,82.19,657.52,2014-07-19 13:51:23
Carroll PLC,AS-93055,Shirt,1,58.8,58.8,2014-09-06 13:00:55
Carroll PLC,QN-82852,Belt,16,27.44,439.04,2014-07-06 13:23:48
Carroll PLC,MJ-21460,Shoes,14,99.5,1393,2014-06-07 23:28:22
"Senger, Upton and Breitenberg",MJ-21460,Shoes,3,56.34,169.02,2014-07-13 09:41:43
Cole-Eichmann,LW-86841,Shoes,9,83.87,754.83,2014-07-28 01:53:47
Carroll PLC,MJ-21460,Shoes,19,56.63,1075.97,2013-12-08 02:40:53
Kilback-Gerlach,WJ-02096,Belt,1,56.95,56.95,2014-03-08 15:50:55
Hegmann and Sons,GS-86623,Shoes,10,31.81,318.1,2013-11-18 23:11:16
Cole-Eichmann,QN-82852,Belt,13,40.34,524.42,2014-09-08 14:00:39
"Kihn, McClure and Denesik",GS-86623,Shoes,10,91.59,915.9,2014-03-19 14:06:11
"Kihn, McClure and Denesik",GS-86623,Shoes,7,95.78,670.46,2014-05-16 23:44:14
Carroll PLC,LL-46261,Shoes,9,90.91,818.19,2014-10-11 20:37:05
"Kihn, McClure and Denesik",AS-93055,Shirt,12,24.09,289.08,2013-12-08 06:53:09
Kilback-Gerlach,LL-46261,Shoes,9,10.81,97.29,2013-12-06 00:59:43
Waters-Walker,QN-82852,Belt,3,59.61,178.83,2014-08-02 13:29:11
Koelpin PLC,WJ-02096,Belt,16,16.3,260.8,2014-04-05 02:00:02
"Senger, Upton and Breitenberg",LL-46261,Shoes,4,23.08,92.32,2014-09-13 11:34:24
Hegmann and Sons,MJ-21460,Shoes,18,42.01,756.18,2013-11-27 03:18:14
Hamill-Hackett,LL-46261,Shoes,5,74.02,370.1,2013-11-10 07:30:39
Waters-Walker,QN-82852,Belt,11,77.66,854.26,2014-03-15 17:01:26
